sentence,processed_text,sentiment,token_count,original_length,processed_length
"A. Le Coq Special was developed for the bicentenary of the company and the trade mark , the brewer said .",le coq special developed bicentenary company trade mark brewer said,neutral,10,105,67
Another noticeable thing is that the search for Tata and Airtel brands was mostly related to ` broadband connections ' .,another noticeable thing search tata airtel brands mostly related broadband connections,neutral,11,120,87
Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .,aspo also investigated sales opportunities kaukomarkkinat electronics business,neutral,8,94,78
"At the beginning of the subscription period on May 2 , 2006 the share subscription price under B option right is EUR 10.22 per share .",beginning subscription period may 2006 share subscription price option right eur 1022 per share,neutral,14,134,95
Both Mr Walden and Mr Ignatius will be responsible also for the newspapers ' business result .,mr walden mr ignatius responsible also newspapers business result,neutral,9,94,65
Capitex Kalmar will continue to be responsible for the maintenance and technical development of the services .,capitex kalmar continue responsible maintenance technical development services,neutral,8,110,78
Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC glass reinforced concrete fabrication process .,changes asbuilt models design communicated subcontractors accommodate steel grc glass reinforced concrete fabrication process,neutral,14,177,125
Customers in a wide range of industries use our stainless steel and services worldwide .,customers wide range industries use stainless steel services worldwide,neutral,9,88,70
Exel wants to serve its industrial customers with individual products .,exel wants serve industrial customers individual products,neutral,7,71,57
"Finnish bank Pohjola Bank Plc HEL : POH1S said today that it will issue a EUR 40 million USD 51.2 m index-linked bond , Pohjola Tutkimuksen Tahdet VIII-2010 Pohjola Research Stars VIII-2010 , on October 27 , 2010 .",finnish bank pohjola bank plc hel poh1s said today issue eur 40 million usd 512 indexlinked bond pohjola tutkimuksen tahdet viii2010 pohjola research stars viii2010 october 27 2010,neutral,28,214,180
From Merisatama to the far corners of the world Asfaltti Osakeyhti+Â Lemmink+ñinen was established in 1910 by a group of master builders in Helsinki as a specialist business and subcontractor .,merisatama far corners world asfaltti osakeyhti lemminkinen established 1910 group master builders helsinki specialist business subcontractor,neutral,16,193,141
"F-Secure , a developer of security solutions as a service through Internet Service Providers and mobile operators , announced results from its annual Online Wellbeing Survey .",fsecure developer security solutions service internet service providers mobile operators announced results annual online wellbeing survey,neutral,16,175,137
"In 2008 , Kemira recorded revenue of approximately EUR 2.8 billion and had a staff of 9,400 .",2008 kemira recorded revenue approximately eur 28 billion staff 9400,neutral,10,93,68
"In accordance with the terms and conditions of Alma Media 's 2006 option program , the share subscription price for the 2006A option rights was EUR 4.88 per share and the book countervalue EUR 0.60 per share .",accordance terms conditions alma media 2006 option program share subscription price 2006a option rights eur 488 per share book countervalue eur 060 per share,neutral,24,209,157
"In Penttil+ñ 's vision , the most important reason for the transaction is Russia .",penttil vision important reason transaction russia,neutral,6,82,50
It also confirmed its earnings guidance for the whole 2009 issued in its report for the whole 2008 .,also confirmed earnings guidance whole 2009 issued report whole 2008,neutral,10,100,68
It is hand-painted resin with real 14-0 trebles and is 75cm long by 25cm deep from top to bottom of the middle hook .,handpainted resin real 140 trebles 75cm long 25cm deep top bottom middle hook,neutral,13,117,77
"It is part of the development of the world-class magnetite deposit at Karara , which has the known potential for over 30 million metric tons of annual processing of magnetite over its estimated 30-year life .",part development worldclass magnetite deposit karara known potential 30 million metric tons annual processing magnetite estimated 30year life,neutral,18,208,141
"It operates under three distinct brands : United Supermarkets , Market Street and United Supermercado .",operates three distinct brands united supermarkets market street united supermercado,neutral,10,103,84
Kaupthing Bank will publish its annual results for 2007 before markets open on Thursday 31 January .,kaupthing bank publish annual results 2007 markets open thursday 31 january,neutral,11,100,75
"LONDON AFX - UK and European brokers ' recommendations issued today , as collated by AFX News from a range of market sources .",london afx uk european brokers recommendations issued today collated afx news range market sources,neutral,14,126,98
The fine print is here .,fine print,neutral,2,24,10
M. and a Master of Business Administration MBA .,master business administration mba,neutral,4,48,34
More than 80 special events in the three counties during four months were hosted by the library system and its nine branch libraries .,80 special events three counties four months hosted library system nine branch libraries,neutral,13,134,88
Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,ms laakso responsible hkscan hr functions development group smarket areas,neutral,10,120,73
"New Delhi , July 17 -- Sahlberg Teppo , Kallio Timo and Mustonen Tuomas of M Real OYJ , Espoo , Finland have developed novel markings and methods of producing the same .",new delhi july 17 sahlberg teppo kallio timo mustonen tuomas real oyj espoo finland developed novel markings methods producing,neutral,19,169,126
"Nokia Siemens Networks provides mobile and fixed network infrastructure , communications and networks service platforms , as well as professional services , to operators and service providers .",nokia siemens networks provides mobile fixed network infrastructure communications networks service platforms well professional services operators service providers,neutral,18,193,164
"Of these shares 29,659,239 are held by the Company or its group companies and the number of outstanding shares and voting rights attached to the shares thus amounts to 322,705,218 .",shares 29659239 held company group companies number outstanding shares voting rights attached shares thus amounts 322705218,neutral,16,181,123
"Outotec 's scope of delivery covers the engineering , supply of special equipment and services for a calcination plant with two circulating fluid bed calciners .",outotec scope delivery covers engineering supply special equipment services calcination plant two circulating fluid bed calciners,neutral,16,161,129
"Outotec 's scope of delivery includes design , basic engineering and supply of proprietary equipment for a sinter plant with a grate area of 496 square meters .",outotec scope delivery includes design basic engineering supply proprietary equipment sinter plant grate area 496 square meters,neutral,17,160,127
"Participants at any of the book discussions or other special events , or visitors to the car dealership were eligible to enter the drawing for the 2005 silver , four-door Altima .",participants book discussions special events visitors car dealership eligible enter drawing 2005 silver fourdoor altima,neutral,15,179,119
Peigs www.peigs.se will become part of Sardus Latta Maltider Light Meals unit .,peigs wwwpeigsse become part sardus latta maltider light meals unit,neutral,10,79,67
"Product coverage : baked goods ; biscuits ; breakfast cereals Data coverage : market sizes historic and forecasts , company shares , brand shares and distribution data .",product coverage baked goods biscuits breakfast cereals data coverage market sizes historic forecasts company shares brand shares distribution data,neutral,19,169,147
Quality chargers under CHARGZ brand are sold in selected retail stores and other sales locations world-wide .,quality chargers chargz brand sold selected retail stores sales locations worldwide,neutral,11,109,83
"S Group 's loyal customer magazine Yhteishyv+ñ came second with 1,629,000 readers and Sanoma Corporation 's daily newspaper Helsingin Sanomat was third with 1,097,000 readers .",group loyal customer magazine yhteishyv came second 1629000 readers sanoma corporation daily newspaper helsingin sanomat third 1097000 readers,neutral,18,176,142
"SCOPI Chief Business Excellence Officer , Eng .",scopi chief business excellence officer eng,neutral,6,47,43
Subject-matter of the invention furthermore is the use of the cyclone for separating partly molten particles . '',subjectmatter invention furthermore use cyclone separating partly molten particles,neutral,9,113,82
"Taking a cue from the playbook of the East Dillon Lions , we 've created a special team of heavy-hitting style players , such as boot-cut jeans , tummy tops and , of course , cowboy boots .",taking cue playbook east dillon lions created special team heavyhitting style players bootcut jeans tummy tops course cowboy boots,neutral,19,189,130
"Tekla 's defense business employs over 20 persons and is located in Espoo , Finland .",tekla defense business employs 20 persons located espoo finland,neutral,9,85,63
"Tekla will organize an information meeting for analysts and media at WTC Helsinki Marski meeting room , Aleksanterinkatu 17 , the same day at 12:30 - 1:30 p.m. Light lunch will be served .",tekla organize information meeting analysts media wtc helsinki marski meeting room aleksanterinkatu 17 day 1230 130 pm light lunch served,neutral,20,188,137
"The Annual General Meeting approved that the yearly remuneration for the members of the Board of Directors shall remain at EUR 40.000 for the Chairman of the Board , EUR 30.000 for the Deputy Chairman of the Board and EUR 20.000 for other members of the Board .",annual general meeting approved yearly remuneration members board directors shall remain eur 40000 chairman board eur 30000 deputy chairman board eur 20000 members board,neutral,24,261,169
"The board machine , which will have a wire width of 6.25 m and a design speed of 900 m-min , will produce close to 1,400 tonnes of folding boxboard per day .",board machine wire width 625 design speed 900 mmin produce close 1400 tonnes folding boxboard per day,neutral,17,157,101
"The change in holdings in accordance with Chapter 2 , Section 9 of the Finnish Securities Markets Act is described below .",change holdings accordance chapter section finnish securities markets act described,neutral,10,122,83
"The company also appointed Leif Rosen head of the Special Plate unit which includes the quarto plate units in Degerfors , Sweden , and New Castle , USA , the unit in Willich , Germany , as well as Pressplate and Prefab in Avesta and Plate Service Centre Nordic in Degerfors .",company also appointed leif rosen head special plate unit includes quarto plate units degerfors sweden new castle usa unit willich germany well pressplate prefab avesta plate service centre nordic degerfors,neutral,30,275,206
"The company designs , manufactures and markets advanced composite products for industrial applications and consumer goods such as cross-country , alpine and Nordic Walking poles , floorball sticks and antenna radomes .",company designs manufactures markets advanced composite products industrial applications consumer goods crosscountry alpine nordic walking poles floorball sticks antenna radomes,neutral,20,218,177
"The company is owned by the State of Finland and the European Aeronautic Defense and Space Company EADS N.V. Tekla is an international software company that provides solutions for building and construction , energy distribution and municipalities .",company owned state finland european aeronautic defense space company eads nv tekla international software company provides solutions building construction energy distribution municipalities,neutral,22,248,190
"The company said that currently the French distribution unit Ragot is located in Loudeac , Normandy , the distribution unit Waterqueen and line supplier Tortue in Saint Marcel in mid-France and the hook manufacturing unit VMC and hook distribution unit VMC Europe in Morvillars .",company said currently french distribution unit ragot located loudeac normandy distribution unit waterqueen line supplier tortue saint marcel midfrance hook manufacturing unit vmc hook distribution unit vmc europe morvillars,neutral,29,279,224
"The contractor of the shopping center , China State Construction Engineering Corporation , has previously built e.g. airports , hotels and factories for large international customers in different parts of the world .",contractor shopping center china state construction engineering corporation previously built eg airports hotels factories large international customers different parts world,neutral,20,216,173
The corrected chapter is in its entirety below .,corrected chapter entirety,neutral,3,48,26
The deal was worth about EUR 1.2 mn .,deal worth eur 12 mn,neutral,5,37,20
The event can also be viewed as a live webcast at www.cargotec.com .,event also viewed live webcast wwwcargoteccom,neutral,6,68,45
The investment will be worth approximately EUR 100mn .,investment worth approximately eur 100mn,neutral,5,54,40
The mill is concentrating on getting the supercalendered line running satisfactorily before restarting its older newsprint line .,mill concentrating getting supercalendered line running satisfactorily restarting older newsprint line,neutral,11,129,102
The number of customers is one of the most important parameters in determining the price of electricity networks .,number customers one important parameters determining price electricity networks,neutral,9,114,80
The order was valued at over EUR15m .,order valued eur15m,neutral,3,37,19
The order was valued at USD12 .2 m.,order valued usd12,neutral,3,35,18
The order was worth EUR 8mn .,order worth eur 8mn,neutral,4,29,19
"The prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire Aspo shares to the amount determined by the Board in advance , in the maximum .",prerequisite inclusion program receipt gains key employees acquire aspo shares amount determined board advance maximum,neutral,15,184,118
"The record date for dividend distribution is March 14 , 2008 .",record date dividend distribution march 14 2008,neutral,7,62,47
"The Samsung Mobile Applications Store was launched in January 2009 by Samsung Mobile Innovator , a program which enables mobile software developers to create applications for use across Samsung mobile devices .",samsung mobile applications store launched january 2009 samsung mobile innovator program enables mobile software developers create applications use across samsung mobile devices,neutral,22,210,177
The solid fuel is heated before sludge is mixed therein . '',solid fuel heated sludge mixed therein,neutral,6,60,38
"The study evaluated the safety , tolerability and pharmacokinetics of repeated doses of intravenously administered antibody in 26 patients with active plaque psoriasis .",study evaluated safety tolerability pharmacokinetics repeated doses intravenously administered antibody 26 patients active plaque psoriasis,neutral,15,169,139
"The total donation amount is EUR 1,115,000 .",total donation amount eur 1115000,neutral,5,44,33
"The total investment necessary will be EUR40m , the company estimated .",total investment necessary eur40m company estimated,neutral,6,71,51
The total project duration is three years and it is valued at some EUR11 .5 m.,total project duration three years valued eur11,neutral,7,78,47
"The total scope of the project is about 38,000 square metres and it is valued at a total of around EUR75m .",total scope project 38000 square metres valued total around eur75m,neutral,10,107,66
"They are responsible for their own operations , customer relationships , and the development of these .",responsible operations customer relationships development,neutral,5,103,57
"This implementation is very important to the operator , since it is about to launch its Fixed-to-Mobile convergence service in Brazil see Brazil : 8 May 2006 : .",implementation important operator since launch fixedtomobile convergence service brazil see brazil may 2006,neutral,13,161,107
This organization will assume the responsibility for operations in Russia .,organization assume responsibility operations russia,neutral,5,75,52
"Thus the group 's balance sheet will have about EUR 25.8 million of goodwill , the company added .",thus group balance sheet eur 258 million goodwill company added,neutral,10,98,63
"Thus the group 's balance sheet will have about EUR25 .8 m in goodwill for 2010 , the company added .",thus group balance sheet eur25 goodwill 2010 company added,neutral,9,101,58
Timo Penttila has been appointed new manager responsible for the asset management of Nordea 's institutional customers in Finland .,timo penttila appointed new manager responsible asset management nordea institutional customers finland,neutral,12,131,103
"To see more of New Haven Register , or to subscribe to the newspaper .",see new register subscribe newspaper,neutral,5,70,36
"Trading in the new shares , which have right to dividends and other distributions of funds , will start on the exchange in Helsinki tomorrow .",trading new shares right dividends distributions funds start exchange helsinki tomorrow,neutral,11,142,87
"UPM-Kymmene www.upm-kymmene.com produces magazine papers and newsprint , as well as fine and specialty papers , converting materials and wood products .",upmkymmene wwwupmkymmenecom produces magazine papers newsprint well fine specialty papers converting materials wood products,neutral,14,152,124
"Vehvilainen , who is currently the chief operating officer at Nokia Siemens Networks , will join Finnair on 5 January 2010 and take over as CEO effective 1 February 2010 .",vehvilainen currently chief operating officer nokia siemens networks join finnair january 2010 take ceo effective february 2010,neutral,17,171,127
"Yara Suomi Ltd also provides nitrogen chemicals and technical nitrates to various sectors of industry , as well as products used in environmental protection .",yara suomi ltd also provides nitrogen chemicals technical nitrates various sectors industry well products used environmental protection,neutral,17,158,135
"Net sales of Finnish Sanoma Learning & Literature , of Finnish media group Sanoma , decreased by 3.6 % in January-June 2009 totalling EUR 162.8 mn , down from EUR 168.8 mn in the corresponding period in 2008 .",net sales finnish sanoma learning literature finnish media group sanoma decreased 36 januaryjune 2009 totalling eur 1628 mn eur 1688 mn corresponding period 2008,negative,24,209,161
"JP Morgan expects that Scala will lower Nobel Biocare 's growth forecast for 2007 from the current guidance of 23-25 pct , as well as the operating margin target from the current 34-35 pct .",jp morgan expects scala lower nobel biocare growth forecast 2007 current guidance 2325 pct well operating margin target current 3435 pct,negative,21,190,136
"Furthermore , sales of new passenger cars and light commercial vehicles in the country declined by 5.4 % year-on-year last month .",furthermore sales new passenger cars light commercial vehicles country declined 54 yearonyear last month,negative,14,130,104
"Profitability ( EBIT % ) was 13.6 % , compared to 14.3 % in Q2 2009 .",profitability ebit 136 compared 143 q2 2009,negative,7,69,43
Sales of mid-strength beer decreased by 40 % .,sales midstrength beer decreased 40,negative,5,46,35
"Finnish lifting equipment maker Kone Oyj said on October 4 , 2007 it won an order worth 15 mln euro $ 21.2 mln to deliver a total of 53 custom designed elevators to Norwegian shipbuilder Aker Yards ASA .",finnish lifting equipment maker kone oyj said october 2007 order worth 15 mln euro 212 mln deliver total 53 custom designed elevators norwegian shipbuilder aker yards asa,positive,27,203,170
The company will make its marketing and sales investments initiated in 2009 even more efficient in 2010 .,company make marketing sales investments initiated 2009 even efficient 2010,positive,10,105,75
"The stock is trading above both its MAPs and the 50-day MAP of SEK72 .983 is higher than the 200-day MAP of SEK70 .283 , a bullish indicator .",stock trading maps 50day map sek72 983 higher 200day map sek70 283 bullish indicator,positive,14,142,84
`` We are pleased with the efforts of both negotiating teams and look forward to a productive four years ahead . '',pleased efforts negotiating teams look forward productive four years ahead,positive,10,115,74
"HELSINKI ( Thomson Financial ) - Kone said it has won four orders in Saudi Arabia , United Arab Emirates and Qatar worth 40 mln eur .",helsinki thomson financial kone said four orders saudi arabia united arab emirates qatar worth 40 mln eur,positive,17,133,105
"( ADP News ) - Finnish handling systems provider Cargotec Oyj ( HEL : CGCBV ) announced on Friday it won orders worth EUR 10 million ( USD 13.2 m ) to deliver linkspans to Jordan , Morocco and Ireland .",adp news finnish handling systems provider cargotec oyj hel cgcbv announced friday orders worth eur 10 million usd 132 deliver linkspans jordan morocco ireland,positive,24,202,159
Merrill Lynch analyst Campbell Morgan upgraded his recommendation on PaperlinX from `` neutral '' to `` buy '' in May .,merrill lynch analyst campbell morgan upgraded recommendation paperlinx neutral buy may,positive,11,119,87
"OUTOTEC OYJ PRESS RELEASE , FEBRUARY 19 , 2008 AT 11.00 AM Outotec has won two large minerals processing technology orders from Mirabela Mineracao do Brasil Ltda , Brazil and from Cumerio Med JSCo , Bulgaria .",outotec oyj press release february 19 2008 1100 outotec two large minerals processing technology orders mirabela mineracao brasil ltda brazil cumerio med jsco bulgaria,positive,24,209,167
"Outotec said it won new orders worth 492.9 mln eur during the quarter , compared with 240.4 mln eur a year earlier .",outotec said new orders worth 4929 mln eur quarter compared 2404 mln eur year earlier,positive,15,116,85
Raute said it has won an order worth around 15 mln eur to supply several plywood production lines to mills operated by Russian wood products company Sveza Group .,raute said order worth around 15 mln eur supply several plywood production lines mills operated russian wood products company sveza group,positive,21,162,137
"The brokerage said 2006 has seen a ` true turning point ' in European steel base prices , with better pricing seen carrying through the second quarter of 2006 .",brokerage said 2006 seen true turning point european steel base prices better pricing seen carrying second quarter 2006,positive,18,160,119
"This location makes the mall a convenient place to shop for consumers from three large residential areas nearby : Jaroszowka , Wysockiego and Zgody .",location makes mall convenient place shop consumers three large residential areas nearby jaroszowka wysockiego zgody,positive,15,149,116
"`` Lining stone sales were also good in the early autumn , and order books are strong to the end of the year .",lining stone sales also good early autumn order books strong end year,positive,12,110,69
"`` This vessel order will help Aspo secure the long-term competitiveness of its fleet , both in terms of technology and pricing .",vessel order help aspo secure longterm competitiveness fleet terms technology pricing,positive,11,129,85
15 December 2010 - Finnish-German telecoms equipment maker Nokia Siemens Networks said today it won a contract to upgrade the radio network of home-based telecommunications company Elisa Oyj HEL : ELI1V .,15 december 2010 finnishgerman telecoms equipment maker nokia siemens networks said today contract upgrade radio network homebased telecommunications company elisa oyj hel eli1v,positive,23,204,177
Finnish KCI Konecranes has been awarded an order for four hot metal ladle cranes by Indian steel producer Bhushan Steel & Strips to be delivered in 2007 .,finnish kci konecranes awarded order four hot metal ladle cranes indian steel producer bhushan steel strips delivered 2007,positive,18,154,122
"Vaahto Pulp & Paper , of Finnish Vaahto Group , has been awarded an order to renovate Finnish-Swedish forest industry company Stora Enso 's paperboard machine at the Ingerois Board Mill in Finland .",vaahto pulp paper finnish vaahto group awarded order renovate finnishswedish forest industry company stora enso paperboard machine ingerois board mill finland,positive,21,198,158
"Combining the two producers will create a strong EU-based fertilizer industry capable of meeting global competition , they added .",combining two producers create strong eubased fertilizer industry capable meeting global competition added,positive,13,130,106
HELSINKI AFX - KCI Konecranes said it has won an order for four hot metal ladle cranes from Indian steel producer Bhushan Steel and Strips Ltd. .,helsinki afx kci konecranes said order four hot metal ladle cranes indian steel producer bhushan steel strips ltd,positive,18,145,113
HELSINKI AFX - Outokumpu said its technology unit has won a 28 mln eur contract from Bosnia-Herzegovina 's Aluminij dd Mostar to upgrade an anode plant .,helsinki afx outokumpu said technology unit 28 mln eur contract bosniaherzegovina aluminij dd mostar upgrade anode plant,positive,17,153,120
"London 's leading shares today jumped almost 100 points , or 1.7 % , as the market opened .",london leading shares today jumped almost 100 points 17 market opened,positive,11,91,69
"Mika Stahlberg , VP F-Secure Labs , said , `` We are excited and proud that F-Secure has been recognized by AV-Comparatives as the Product of the Year .",mika stahlberg vp fsecure labs said excited proud fsecure recognized avcomparatives product year,positive,13,152,96
The policy was also aimed at making the companies more profitable and competitive .,policy also aimed making companies profitable competitive,positive,7,83,57
"Finland 's leading metals group Outokumpu said its fourth-quarter net profit more than tripled on the back of strong global demand for stainless steel , soaring base metal prices and proceeds from the sale of its technology unit .",finland leading metals group outokumpu said fourthquarter net profit tripled back strong global demand stainless steel soaring base metal prices proceeds sale technology unit,positive,24,230,174
"The company has the poser , who wants to impress people with the latest handset .",company poser wants impress people latest handset,neutral,7,81,49
According to an  posted by the World Intellectual Property Organization : `` The present invention relates to hydrocarbons and particularly to the manufacture of hydrocarbon components suitable as aviation fuels or jet fuels and as blending stocks for aviation fuels .,according posted world intellectual property organization present invention relates hydrocarbons particularly manufacture hydrocarbon components suitable aviation fuels jet fuels blending stocks aviation fuels,neutral,23,268,209
And that 's exactly what happened on a recent weekday when an East Haven baker was brought in to remind residents about the Easter tradition of making wheat and rice pies .,exactly happened recent weekday east baker brought remind residents easter tradition making wheat rice pies,neutral,15,172,107
Any investment or investment activity to which this communication relates is only available to relevant persons and will be engaged in only with relevant persons .,investment investment activity communication relates available relevant persons engaged relevant persons,neutral,11,163,104
"Fortum needs a clear signal of commitment from the Government that the permit is available before the company will start the next round , Kuula says .",fortum needs clear signal commitment government permit available company start next round kuula says,neutral,14,150,100
"The add-on order contains , among others , control valves and instrumentation as well as complete mill engineering and electrification with Metso drive controls .",addon order contains among others control valves instrumentation well complete mill engineering electrification metso drive controls,neutral,16,162,132
The repurchase of the bonds was executed in the open market in accordance with section 7 f of the terms and conditions of the Convertible Bonds .,repurchase bonds executed open market accordance section terms conditions convertible bonds,neutral,11,145,91
Finnish Raute Precision that supplies weighing and dosing systems and plants is changing its name to Lahti Precision .,finnish raute precision supplies weighing dosing systems plants changing name lahti precision,neutral,12,118,93
"Finnish Suominen Corporation that makes wipes , nonwovens , and flexible packaging , has a plant near Warsaw , in Poland , that makes flexible packaging .",finnish suominen corporation makes wipes nonwovens flexible packaging plant near warsaw poland makes flexible packaging,neutral,15,154,119
"France T+®l+®com spent more time studying TeliaSonera than other potential takeover targets because it has a shareholder that wants to sell , Pellissier said .",france tlcom spent time studying teliasonera potential takeover targets shareholder wants sell pellissier said,neutral,14,159,110
"Supported Nokia phones include : N96 , N95-8GB , N95 , N93-N931 , N92 , N85 , N82 , N81 , N80 , N79 , N78 , N77 , N76 , N75 , N73 , N72 , N71 , E90 , E71 , E70 , E66 , E65 , E62 , E61-E61i , E60 , E51 , E50 , Touch Xpress 5800 , 6220 Classic , 6210 Navigator , 6120 Classic , 6110 Navigator , 5700 , 5500 , 5320XM .",supported nokia phones include n96 n958gb n95 n93n931 n92 n85 n82 n81 n80 n79 n78 n77 n76 n75 n73 n72 n71 e90 e71 e70 e66 e65 e62 e61e61i e60 e51 e50 touch xpress 5800 6220 classic 6210 navigator 6120 classic 6110 navigator 5700 5500 5320xm,neutral,45,315,240
"The machine will have an annual production capacity of 200,000 tonnes of super-calendered magazine paper and other paper grades based on recovered fiber , Stora Enso said .",machine annual production capacity 200000 tonnes supercalendered magazine paper paper grades based recovered fiber stora enso said,neutral,17,172,130
The Moscow Metro ( www.mosmetro.ru ) was the first metro system in Europe to implement smart cards together with a new type of magnetic card in 1998 .,moscow metro wwwmosmetroru first metro system europe implement smart cards together new type magnetic card 1998,neutral,16,150,111
"The total scholarship amount was 40,000 euros and the recipients were chosen on the recommendation of fine arts universities and sports associations .",total scholarship amount 40000 euros recipients chosen recommendation fine arts universities sports associations,neutral,13,150,112
"An  of the invention , released by the Patent Office , said : `` A non-coherent search matrix is formed of said correlation function matrix .",invention released patent office said noncoherent search matrix formed said correlation function matrix,neutral,13,141,103
"As with other stakeholders , COMPTEL has been involved in the workshops , meetings and filed comments on the issues of greatest importance to the competitive sector of our industry .",stakeholders comptel involved workshops meetings filed comments issues greatest importance competitive sector industry,neutral,13,182,118
"Patrick Jeambar will also continue being responsible for Innovation and Health , safety and environment HSEA functions of Ahlstrom Corporation .",patrick jeambar also continue responsible innovation health safety environment hsea functions ahlstrom corporation,neutral,13,144,114
"Sanoma Learning & Literature , offering print and digital learning materials , is present in eleven countries .",sanoma learning literature offering print digital learning materials present eleven countries,neutral,11,111,93
"The Costanza light , with an aluminum base and washable shade , comes in white , pistachio , orange , blue and red .",costanza light aluminum base washable shade comes white pistachio orange blue red,neutral,12,116,81
"The process , technology , project management , basic engineering and quality assurance within Forest Industry will be consolidated in Vantaa , southern Finland .",process technology project management basic engineering quality assurance within forest industry consolidated vantaa southern finland,neutral,15,162,133
"The tests , conducted at Nokia Siemens ' LTE center of competence in Espoo , Finland , follow the company 's production start of LTE-ready Flexi Multiradio Base Stations for the 800 MHz band in April 2010 , and complement earlier tests with Nokia on the 2100 MHz and 2600 MHz bands .",tests conducted nokia siemens lte center competence espoo finland follow company production start lteready flexi multiradio base stations 800 mhz band april 2010 complement earlier tests nokia 2100 mhz 2600 mhz bands,neutral,32,283,216
"Shares in Royal and Sun Alliance continued to slide back from a 12-month high of 172p last month , after a potential suitor ruled itself out of a takeover bid .",shares royal sun alliance continued slide back 12month high 172p last month potential suitor ruled takeover bid,negative,17,160,111
"Managing Director 's comments : `` Net sales for the first quarter were notably lower than a year before , especially in Finland , Russia and the Baltic countries .",managing director comments net sales first quarter notably lower year especially finland russia baltic countries,negative,15,164,112
"Sales climbed 19.2 pct to 1.002 bln eur , surpassing the 953 mln eur consensus figure .",sales climbed 192 pct 1002 bln eur surpassing 953 mln eur consensus figure,positive,13,87,74
"Suominen Corporation estimates that the cost-cutting program that started in autumn 2005 , higher sales prices , and expected growth in volume of Wet Wipes , will make the company 's operations more profitable .",suominen corporation estimates costcutting program started autumn 2005 higher sales prices expected growth volume wet wipes make company operations profitable,positive,20,211,158
Finnish OKO bank has signed a cooperation agreement with Raiffeisen concerning Finnish companies ' investments in Russia .,finnish oko bank signed cooperation agreement raiffeisen concerning finnish companies investments russia,positive,12,122,104
"Cooper SH , the UK distributor for lift equipment manufacturer Konecranes , won the five-year deal which involves low maintenance and fuel saving technologies .",cooper sh uk distributor lift equipment manufacturer konecranes fiveyear deal involves low maintenance fuel saving technologies,positive,16,160,127
"After the reporting period , BioTie North American licensing partner Somaxon Pharmaceuticals announced positive results with nalmefene in a pilot Phase 2 clinical trial for smoking cessation .",reporting period biotie north american licensing partner somaxon pharmaceuticals announced positive results nalmefene pilot phase clinical trial smoking cessation,positive,19,192,162
"`` This is a significant milestone for Benefon , helping us to secure critical USP 's for our personal navigation product roadmap for 2007 and beyond , '' commented Simon Button , Chief Technology Officer at Benefon .",significant milestone benefon helping us secure critical usp personal navigation product roadmap 2007 beyond commented simon button chief technology officer benefon,positive,21,217,164
"Investors will continue being interested in the company 's share although it is not quite cheap , Affarsvarlden said .",investors continue interested company share although quite cheap affarsvarlden said,positive,10,118,83
"`` Each year , personal entertainment plays a more significant role in determining whether a fitness facility 's workout experience is pleasurable or a chore , '' said Brian Wilson , director of marketing for Precor 's Entertainment & Services Division .",year personal entertainment plays significant role determining whether fitness facility workout experience pleasurable chore said brian wilson director marketing precor entertainment services division,neutral,23,254,200
The agreement must be approved by the Russian competition authorities before it enters into force .,agreement must approved russian competition authorities enters force,neutral,8,99,68
The total amount of subscription prices was recorded in the fund for invested non-restricted equity .,total amount subscription prices recorded fund invested nonrestricted equity,neutral,9,101,76
"Before Kemira 's installation NordAlu was producing 3,500 tons of liquid and solid aluminum waste per year .",kemira installation nordalu producing 3500 tons liquid solid aluminum waste per year,neutral,12,108,84
Mr Skogster currently serves as the manager responsible for ABB Oy 's system modules for low voltage drives .,mr skogster currently serves manager responsible abb oy system modules low voltage drives,neutral,13,109,89
- Counter your competitor 's strengths and target their weaknesses .,counter competitor strengths target weaknesses,neutral,5,68,46
"Founded in 2000 , BioView automates laboratory tests , especially diagnostic tests for cancer .",founded 2000 bioview automates laboratory tests especially diagnostic tests cancer,neutral,10,95,82
"The five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. It will also include apartments .",fivestorey ecoefficient building gross floor area 15000 sq also include apartments,neutral,11,125,82
"The Stena Poseidon is a so-called Panamax tanker , designed to be able to pass through the narrow passages in the Panama Canal 's locks .",stena poseidon socalled panamax tanker designed able pass narrow passages panama canal locks,neutral,13,137,92
"Markets had been expecting a poor performance , and the company 's stock was up 6 percent at  x20ac 23.89 US$ 33.84 in early afternoon trading in Helsinki .",markets expecting poor performance company stock percent x20ac 2389 us 3384 early afternoon trading helsinki,positive,15,156,108
"Excluding non-recurring items , pre-tax profit surged 45 % to EUR80m .",excluding nonrecurring items pretax profit surged 45 eur80m,positive,8,70,59
"ADP News - Feb 13 , 2009 - Finnish retailer Kesko Oyj HEL : KESBV said today its total sales , excluding value added tax VAT , stood at EUR 661.3 million USD 853.1 m in January 2009 , down 15.2 % year-on-yea",adp news feb 13 2009 finnish retailer kesko oyj hel kesbv said today total sales excluding value added tax vat stood eur 6613 million usd 8531 january 2009 152 yearonyea,negative,30,207,169
